date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:47:43	105595/105595	---M--	200	added ('OK')	image/jpeg	etag:%2235a0579-19c7b-6289c1181e229%22	https://mannatstudio.com/html/logzee/v3/assets/images/portfolio/fullwidth/img-11.jpg	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/portfolio/fullwidth/img-11.jpg	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:43	7977/7977	---M--	200	added ('OK')	image/png	etag:%22358060e-1f29-6289c0c45e9e3%22	https://mannatstudio.com/html/logzee/v3/assets/images/map-bg.png	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/map-bg.png	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:43	14515/14515	---M--	200	added ('OK')	image/jpeg	etag:%223580613-38b3-6289c0c657838%22	https://mannatstudio.com/html/logzee/v3/assets/images/team_1.jpg	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/team_1.jpg	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:43	15233/15233	---M--	200	added ('OK')	image/jpeg	etag:%223580614-3b81-6289c0c7362cf%22	https://mannatstudio.com/html/logzee/v3/assets/images/team_2.jpg	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/team_2.jpg	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:44	16099/16099	---M--	200	added ('OK')	image/jpeg	etag:%223580615-3ee3-6289c0c76ed15%22	https://mannatstudio.com/html/logzee/v3/assets/images/team_3.jpg	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/team_3.jpg	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:44	44085/44085	---M--	200	added ('OK')	image/jpeg	etag:%2235805ee-ac35-6289c0b267225%22	https://mannatstudio.com/html/logzee/v3/assets/images/blog_img_1.jpg	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/blog_img_1.jpg	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:44	93808/93808	---M--	200	added ('OK')	image/jpeg	etag:%2235805f0-16e70-6289c0b39bbc6%22	https://mannatstudio.com/html/logzee/v3/assets/images/blog_img_2.jpg	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/blog_img_2.jpg	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:44	25417/25417	---M--	200	added ('OK')	image/jpeg	etag:%2235805f1-6349-6289c0b3f517f%22	https://mannatstudio.com/html/logzee/v3/assets/images/blog_img_3.jpg	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/blog_img_3.jpg	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:45	2876/2876	---M--	200	added ('OK')	image/png	etag:%2235a0539-b3c-6289c0e80ca47%22	https://mannatstudio.com/html/logzee/v3/assets/images/clients/client1.png	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/clients/client1.png	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:45	2372/2372	---M--	200	added ('OK')	image/png	etag:%2235a053a-944-6289c0e833f33%22	https://mannatstudio.com/html/logzee/v3/assets/images/clients/client2.png	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/clients/client2.png	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:45	3118/3118	---M--	200	added ('OK')	image/png	etag:%2235a053b-c2e-6289c0e8e0ce5%22	https://mannatstudio.com/html/logzee/v3/assets/images/clients/client3.png	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/clients/client3.png	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:45	2634/2634	---M--	200	added ('OK')	image/png	etag:%2235a053c-a4a-6289c0e905ea9%22	https://mannatstudio.com/html/logzee/v3/assets/images/clients/client4.png	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/clients/client4.png	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:46	2919/2919	---M--	200	added ('OK')	image/png	etag:%2235a053d-b67-6289c0e9c071d%22	https://mannatstudio.com/html/logzee/v3/assets/images/clients/client5.png	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/clients/client5.png	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:46	4031/4031	---M--	200	added ('OK')	image/png	etag:%2235a053e-fbf-6289c0e9dfb20%22	https://mannatstudio.com/html/logzee/v3/assets/images/clients/client6.png	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/clients/client6.png	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:46	29405/29405	---M--	200	added ('OK')	image/jpeg	etag:%223580611-72dd-6289c0c583982%22	https://mannatstudio.com/html/logzee/v3/assets/images/post_thumb_1.jpg	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/post_thumb_1.jpg	(from https://mannatstudio.com/html/logzee/v3/index.html)
